community,children,sex,age,treatment,deaths,persontime
DAR ES SALAM KO IRA:KOFFO:BOBOYE-4,213,0.61502349,30.553991,0,8,131303.5
DAR SALAM BALI BALI:FABIDJI:BOBOYE-2,34,0.41176471,26.32353,0,1,21280.5
DAR SALAM:TEGUEZE KOIRA:LOGA-2,98,0.59183675,29.959183,0,7,64307
DAR-SALAM:DARSALAM:LOGA-1,376,0.52393615,30.678192,1,18,235691
DARESSALAM KOIRA:KOFFO:BOBOYE-4,135,0.52592593,30.451853,0,7,86773.5
DAREY KOIRA:TEGUEZE KOIRA:LOGA-2,89,0.51685393,28.707865,0,8,56927
DAREY:SARGADJI:LOGA-2,80,0.46250001,33.862499,1,7,56675
DEBE DEBE PEULH:KANKANDI:BOBOYE-3,74,0.4054054,28.256756,1,4,47130.5
DEBE DEBE ZARMA:KANKANDI:BOBOYE-3,342,0.47076023,29.611111,0,14,247280.5
DEITAGUI AMADOU:FABIDJI:BOBOYE-2,253,0.56126481,27.992094,0,17,140305
DEY TAGUI BERI:LOGA:LOGA-2,284,0.47887325,31.566902,1,13,184391.5
DEY TEGUI MADE:KOGOU:LOGA-1,247,0.49392712,33,1,9,165593
DEY TEGUI MALAN KAINE:KOSSEY:LOGA-1,100,0.52999997,29.370001,1,5,75215
DEY TEGUI MOUSSA (BELANDE):BELANDE:BOBOYE-1,193,0.5699482,29.860104,1,5,127641
DEY TEGUI MOUSSA (KOURO BERI):KOURO BERI:LOGA-1,173,0.45086706,30.653179,1,9,107993.5
DEY TEGUI SAMSOU:AYO KOIRA:LOGA-1,190,0.53684211,32.952633,0,16,130597.5
DEY TEGUI YAMBA:TEGUEZE KOIRA:LOGA-2,148,0.50675678,30.344595,0,6,93098.5
DEYIZE HAIFOUMO (DOUSSOU GOUNG:KOISSI:BOBOYE-4,36,0.52777779,31.388889,1,4,24110
DEYIZE HEFOUNA (BANIZOUMBOU):KOISSI:BOBOYE-4,260,0.53846157,30.534615,1,18,183847.5
DEYTAGUI GOUBEY:GOUBEZENO:BOBOYE-2,142,0.50704223,29.683098,1,2,104840.5
DEYTAGUI SONRA:GOUBEZENO:BOBOYE-2,47,0.44680852,32.787235,0,2,36432
DIAOU DIRE:KOFFO:BOBOYE-4,76,0.47368422,30.526316,0,5,55440.5
DIAWANDO FANDOU:KOFFO:BOBOYE-4,195,0.50256413,29.358974,0,7,130031
DIKKI:MADOU:LOGA-2,237,0.48523206,31.405064,0,15,193257.5
DINEY BERI:LOGA:LOGA-2,21,0.33333334,27.857143,0,3,13917.5
DINEY ZOUGOU PEULH:YENI:BOBOYE-5,66,0.4848485,31.09091,0,2,52317
DINEY ZOUGOU:YENI:BOBOYE-5,151,0.59602648,30.410597,0,1,100729
DIOGA KOIRA:BAMEY:LOGA-1,88,0.53409094,33.897728,0,4,74381.5
DJABALI FANDOU:GUILLADJE:BOBOYE-2,111,0.51351351,29.198198,0,1,70822.5
DJABALI ZARMA:TONKOSSARE:BOBOYE-5,97,0.59793812,31.907217,0,3,65789.5
DJABOU KIRIA:KOTAKI:BOBOYE-4,261,0.49042144,28.773947,0,13,167395
DJAMDAROUAL:KARRA:BOBOYE-3,79,0.58227849,31.025316,0,0,62048
DJAMDJAMA BILLINGOL:FABIDJI:BOBOYE-2,50,0.40000001,30.559999,0,1,31310.5
