[2<->55]		1.76 us		4486.886871 (MillionBytes/sec)
[56<->2]		1.77 us		4290.777084 (MillionBytes/sec)
[2<->57]		1.77 us		4664.382767 (MillionBytes/sec)
[58<->2]		1.77 us		4407.301845 (MillionBytes/sec)
[2<->59]		1.76 us		4627.087334 (MillionBytes/sec)
[60<->2]		1.75 us		4288.685043 (MillionBytes/sec)
[2<->61]		1.70 us		4494.682178 (MillionBytes/sec)
[62<->2]		1.70 us		4574.627118 (MillionBytes/sec)
[2<->63]		1.72 us		4469.559463 (MillionBytes/sec)
[64<->2]		1.72 us		5897.085695 (MillionBytes/sec)
[2<->65]		1.70 us		4473.196207 (MillionBytes/sec)
[66<->2]		1.71 us		5904.210647 (MillionBytes/sec)
[2<->67]		1.70 us		4666.857503 (MillionBytes/sec)
[68<->2]		1.70 us		5884.461481 (MillionBytes/sec)
[2<->69]		1.69 us		4456.425688 (MillionBytes/sec)
[70<->2]		1.71 us		5845.356873 (MillionBytes/sec)
[2<->71]		1.70 us		4565.130279 (MillionBytes/sec)
[72<->2]		1.70 us		5880.527492 (MillionBytes/sec)
[2<->73]		1.72 us		4563.235641 (MillionBytes/sec)
[74<->2]		1.72 us		4473.651217 (MillionBytes/sec)
[2<->75]		1.69 us		4485.056609 (MillionBytes/sec)
[76<->2]		1.70 us		5871.107344 (MillionBytes/sec)
[2<->77]		1.70 us		4475.016800 (MillionBytes/sec)
[78<->2]		1.71 us		5897.876507 (MillionBytes/sec)
[2<->79]		1.70 us		4490.551880 (MillionBytes/sec)
[80<->2]		1.73 us		5891.555943 (MillionBytes/sec)
[2<->81]		1.72 us		4477.294626 (MillionBytes/sec)
[82<->2]		1.71 us		5891.555943 (MillionBytes/sec)
[2<->83]		1.70 us		4475.472180 (MillionBytes/sec)
[84<->2]		1.71 us		5867.973997 (MillionBytes/sec)
[2<->85]		1.70 us		4471.377095 (MillionBytes/sec)
[86<->2]		1.71 us		5894.714530 (MillionBytes/sec)
[2<->87]		1.70 us		4465.928626 (MillionBytes/sec)
[88<->2]		1.71 us		5874.244038 (MillionBytes/sec)
[2<->89]		1.70 us		4473.651217 (MillionBytes/sec)
[90<->2]		1.71 us		5874.244038 (MillionBytes/sec)
[2<->91]		1.70 us		4482.770881 (MillionBytes/sec)
[92<->2]		1.71 us		5907.382822 (MillionBytes/sec)
[2<->93]		1.70 us		4470.013732 (MillionBytes/sec)
[94<->2]		1.71 us		5867.191183 (MillionBytes/sec)
[2<->95]		1.69 us		4657.960719 (MillionBytes/sec)
[96<->2]		1.71 us		5860.936182 (MillionBytes/sec)
[2<->97]		1.71 us		4427.712183 (MillionBytes/sec)
[98<->2]		1.72 us		5867.191183 (MillionBytes/sec)
[2<->99]		1.70 us		4473.196207 (MillionBytes/sec)
[100<->2]		1.70 us		5880.527492 (MillionBytes/sec)
[2<->101]		1.70 us		4467.743307 (MillionBytes/sec)
[102<->2]		1.71 us		5903.418136 (MillionBytes/sec)
[2<->103]		1.70 us		4467.743307 (MillionBytes/sec)
[104<->2]		1.72 us		5890.766824 (MillionBytes/sec)
[2<->105]		1.71 us		4477.294626 (MillionBytes/sec)
[106<->2]		1.70 us		5874.244038 (MillionBytes/sec)
[2<->107]		1.70 us		4460.041082 (MillionBytes/sec)
[108<->2]		1.71 us		5871.107344 (MillionBytes/sec)
[2<->109]		1.69 us		4473.651217 (MillionBytes/sec)
[110<->2]		1.71 us		5884.461481 (MillionBytes/sec)
[2<->111]		1.70 us		4483.227840 (MillionBytes/sec)
[112<->2]		1.73 us		5897.085695 (MillionBytes/sec)
[2<->113]		1.69 us		4646.150973 (MillionBytes/sec)
[114<->2]		1.73 us		5890.766824 (MillionBytes/sec)
[2<->115]		1.70 us		4467.743307 (MillionBytes/sec)
[116<->2]		1.72 us		5887.612465 (MillionBytes/sec)
[2<->117]		1.69 us		4461.850980 (MillionBytes/sec)
[118<->2]		1.71 us		5884.461481 (MillionBytes/sec)
[2<->119]		1.70 us		4668.839184 (MillionBytes/sec)
[120<->2]		1.71 us		5884.461481 (MillionBytes/sec)
[2<->121]		1.70 us		4496.520306 (MillionBytes/sec)
[122<->2]		1.71 us		5881.313869 (MillionBytes/sec)
[2<->123]		1.70 us		4523.343115 (MillionBytes/sec)
